name,AverageShortestPathLength,ClosenessCentrality,NeighborhoodConnectivity,TopologicalCoefficient,Label
TMEM119,3.228280961,0.309762382,40.5,0.54,1
MFAP1,2.819778189,0.354637824,40.72727273,0.153344768,1
SORBS3,3.329020333,0.300388673,17.33333333,0.34751773,1
LRRTM3,3.263401109,0.306428774,24.5,0.347826087,1
TLN2,2.731053604,0.366159052,58.66666667,0.174272487,1
CTRL,2.863216266,0.349257586,243,0,1
CTXN3,3.259704251,0.306776297,19.2,0.264788732,1
GPR151,3.303142329,0.302742026,23.33333333,0.333333333,1
KCNB1,2.718114603,0.367902074,47.81818182,0.136889122,1
RTN3,2.971349353,0.336547434,45,0.257309942,1
SIGLEC7,2.858595194,0.349822179,50.66666667,0.203853047,1
FNDC5,2.621072089,0.381523272,82.6,0.188154897,1
POLDIP2,2.911275416,0.343492063,61.5,0.305,1
UNC5C,3.156192237,0.316837482,24.75,0.317307692,1
GMFB,3.606284658,0.277293696,15,0,1
DCHS2,3.909426987,0.255791962,6,0,1
TUBA1B,2.524953789,0.396046852,53.36842105,0.102137528,1
SLC2A14,2.6025878,0.384232955,75.85714286,0.167086218,1
DENR,2.847504621,0.35118468,40,0.163923182,1
DHX40,4.00831793,0.249481208,8,0,1
NPL,2.831792976,0.353133159,35.84615385,0.140468227,1
SGCG,3.14232902,0.318235294,25.5,0.31875,1
MPZ,2.931608133,0.34110971,30.85714286,0.170790104,1
HNMT,2.870609982,0.348358017,51.85714286,0.219452888,1
DPPA2,3.006469501,0.332616047,61,0.39869281,1
TGM1,2.782809612,0.359349053,58.83333333,0.198198198,1
DUSP6,2.530499076,0.395178963,91.0625,0.173783397,1
IGFBP2,2.624768946,0.380985915,88,0.203525641,1
ST3GAL4,2.765249538,0.361631016,44.9,0.146078431,1
PILRA,2.996303142,0.333744602,30.375,0.190251572,1
EFHD2,3.536044362,0.282801882,20,0,1
OLFM1,2.843807763,0.351641209,70.5,0.273622047,1
EPDR1,3.413123845,0.292986732,27,0.5,1
PPP1R37,3.788354898,0.263966821,14,0,1
IMPA1,2.835489834,0.352672751,38.57142857,0.156434475,1
SV2C,2.901109057,0.344695763,61.8,0.287850467,1
RMDN3,2.733826248,0.365787694,42.61538462,0.127743128,1
SGSM3,2.964879852,0.337281796,37.83333333,0.246187364,1
PCDH11X,2.853974122,0.350388601,70,0.283673469,1
GDF11,2.824399261,0.354057592,72.28571429,0.27277628,1
VN1R4,3.297597043,0.303251121,88,0,1
NAV3,3.013863216,0.331800061,40,0.276041667,1
PRLH,2.893715342,0.345576493,72.25,0.319137168,1
GPR42,3.383548983,0.295547665,29.5,0.508928571,1
GCHFR,3.477818854,0.28753654,8.75,0.275,1
RMDN2,3.203327172,0.312175418,21,0.355932203,1
RHBDD1,3.046210721,0.328276699,43,0.333333333,1
GOLGA6A,3.569316081,0.280165717,16,0.517241379,1
GPR141,3.641404806,0.274619289,30,0,1
MRGPRX3,3.223659889,0.310206422,49,0.505263158,1
GPRASP2,3.173752311,0.31508445,80,0,1
IFNL3,2.88077634,0.347128649,48.22222222,0.210092188,1
SLC25A27,3.149722736,0.317488263,43,0.449122807,1
SIT1,3.093345656,0.323274574,54.66666667,0.525641026,1
GRHL3,3.220887246,0.310473458,34.5,0.507575758,1
STIM2,2.909426987,0.343710292,29.88888889,0.1534937,1
PTPN4,3.093345656,0.323274574,38.33333333,0.333333333,1
MICB,2.790203327,0.35839682,63.22222222,0.21687667,1
ST6GAL1,2.911275416,0.343492063,25.4,0.127179487,1
HSD17B13,3.553604436,0.281404421,25,0,1
PPP1R1A,2.855822551,0.350161812,35.1,0.151082251,1
RTL1,3.07948244,0.324729892,68,0.598214286,1
SBNO1,3.234750462,0.309142857,21,0.277027027,1
UBASH3B,2.99168207,0.334260117,40.6,0.268,1
MYO16,3.07116451,0.325609389,37,0.349514563,1
WNK1,2.973197782,0.336338203,72,0.423529412,1
KIF21B,3.02310536,0.330785692,20.125,0.151717557,1
MMEL1,3.406654344,0.293543136,13,0.265957447,1
SYBU,3.154343808,0.317023147,44.66666667,0.409785933,1
LGR6,3.070240296,0.325707405,121,0,1
RCBTB1,2.904805915,0.344257079,57.14285714,0.282885431,1
LMF2,4.036968577,0.247710623,6,0,1
LMTK2,3.06284658,0.326493663,32,0.285714286,1
PPP1R2,2.959334566,0.337913804,32.88888889,0.190109184,1
MARK1,3.069316081,0.32580548,23.8,0.203571429,1
SCRN1,4.068391867,0.245797365,5,0,1
TMEM97,2.792051756,0.35815955,80.5,0.272033898,1
SLC9A6,3.312384473,0.301897321,45,0,1
ST8SIA1,3.089648799,0.323661382,17.83333333,0.182624113,1
PRND,2.966728281,0.337071651,39,0.223121387,1
NRN1,2.93715342,0.340465702,38.28571429,0.203208556,1
MGAT3,3.659889094,0.273232323,8.666666667,0.450980392,1
MOGAT3,3.169131238,0.31554389,25,0.284883721,1
MSC,2.972273567,0.336442786,39,0.236809816,1
PDIK1L,2.963031423,0.337492202,161,0,1
NDRG2,2.779112754,0.35982707,162.6666667,0.531590414,1
TREML2,3.248613678,0.307823613,24.8,0.27032967,1
PZP,3.158040665,0.316652034,28.2,0.292631579,1
TNFAIP1,2.956561922,0.338230697,57.66666667,0.354166667,1
TREML1,3.368761553,0.296844993,24.25,0.361940299,1
PRRX2,3.181146026,0.314352121,37,0.544117647,1
SORCS3,3.591497227,0.278435409,19,0.703703704,1
AAAS,2.859969559,0.349654071,35.29411765,0.113649343,0
APTX,2.939117199,0.340238219,33.41666667,0.139705882,0
DGKQ,2.712328767,0.368686869,33.25,0.079584478,0
EIF2B2,3.098934551,0.322691552,15.83333333,0.102908277,0
AGO2,2.436073059,0.41049672,54.88636364,0.074411003,0
MDM2,2.213850837,0.451701616,58.02020202,0.060364309,0
SRSF4,3.083713851,0.324284304,26,0.157575758,0
GEMIN4,2.988584475,0.33460657,25.71428571,0.125087108,0
HSPA9,2.328006088,0.429552141,46.89411765,0.055959568,0
SRSF9,2.866818874,0.348818689,27.63333333,0.093764172,0
RBM8A,2.739726027,0.365,28.22222222,0.071529545,0
RAN,2.508371385,0.398665049,49.10526316,0.074889514,0
RNPS1,2.901065449,0.344700944,28.25714286,0.108264915,0
SNRPF,2.823439878,0.354177898,26.39473684,0.080637373,0
NXF1,2.873668189,0.347987288,29.34782609,0.104131208,0
RANBP2,2.603500761,0.384098217,39.61764706,0.071925134,0
NUP214,2.811263318,0.355711965,33.63636364,0.096525601,0
NUP62,2.865296804,0.349003984,34.55555556,0.1142488,0
AACT,2.677321157,0.373507675,74.25,0.15480167,0
MYOC,2.783866058,0.359212685,44.08333333,0.116444444,0
CEACAM5,2.538812785,0.393884892,72.84375,0.11617823,0
TTR,2.436834094,0.41036852,65.52,0.089630643,0
CMA1,2.615677321,0.382310154,97.8,0.175179211,0
APOE,2.144596651,0.466288148,67.44,0.066640316,0
CRP,2.266362253,0.441235729,78.15384615,0.087702421,0
APP,2.04414003,0.489203276,57.87027027,0.053583584,0
ALB,1.95585997,0.511284047,53.43265306,0.047156727,0
KLK3,2.45890411,0.406685237,82.75757576,0.11458071,0
CLU,2.337899543,0.427734375,78.66666667,0.094305508,0
FGG,2.485540335,0.402327006,60.33928571,0.091119983,0
CTSL,2.5304414,0.39518797,97.75,0.149566105,0
HP,2.417047184,0.41372796,70.98461538,0.096164269,0
AGT,2.289954338,0.43668993,65.00952381,0.076843409,0
DNAJC1,2.959665145,0.337876061,44.625,0.192099567,0
IL6,2.028158295,0.493058161,57.44700461,0.05363866,0
GGT2,2.471841705,0.40455665,107.969697,0.151984635,0
C4A,2.52891933,0.39542582,70.83333333,0.112883218,0
GC,2.656773212,0.376396448,62.5,0.125502008,0
ENO2,2.311263318,0.432663813,72.49122807,0.082827068,0
